id	20
worker_id	4
battery_service_id	1
worker_name	
worker_document	
worker_email	
gender	Masculino
birth_year	
age	
marital_status	Soltero(a)
education_level	Ninguno
city_residence	Leticia
stratum	
housing_type	
department	OPERATIVA
position	AUXILIAR DE BODEGA
position_type	Operario
contract_type	
work_experience_years	0
time_in_company_months	0
time_in_position_months	
hours_per_day	1
intralaboral_form_type	B
dom_liderazgo_puntaje	100
dom_liderazgo_nivel	riesgo_muy_alto
dom_control_puntaje	100
dom_control_nivel	riesgo_muy_alto
dom_demandas_puntaje	76.9
dom_demandas_nivel	riesgo_muy_alto
dom_recompensas_puntaje	100
dom_recompensas_nivel	riesgo_muy_alto
dim_caracteristicas_liderazgo_puntaje	100
dim_caracteristicas_liderazgo_nivel	riesgo_muy_alto
dim_relaciones_sociales_puntaje	100
dim_relaciones_sociales_nivel	riesgo_muy_alto
dim_retroalimentacion_puntaje	100
dim_retroalimentacion_nivel	riesgo_muy_alto
dim_relacion_colaboradores_puntaje	
dim_relacion_colaboradores_nivel	
dim_claridad_rol_puntaje	100
dim_claridad_rol_nivel	riesgo_muy_alto
dim_capacitacion_puntaje	100
dim_capacitacion_nivel	riesgo_muy_alto
dim_participacion_manejo_cambio_puntaje	100
dim_participacion_manejo_cambio_nivel	riesgo_muy_alto
dim_oportunidades_desarrollo_puntaje	100
dim_oportunidades_desarrollo_nivel	riesgo_muy_alto
dim_control_autonomia_puntaje	100
dim_control_autonomia_nivel	riesgo_muy_alto
dim_demandas_ambientales_puntaje	100
dim_demandas_ambientales_nivel	riesgo_muy_alto
dim_demandas_emocionales_puntaje	0
dim_demandas_emocionales_nivel	sin_riesgo
dim_demandas_cuantitativas_puntaje	100
dim_demandas_cuantitativas_nivel	riesgo_muy_alto
dim_influencia_trabajo_entorno_extralaboral_puntaje	100
dim_influencia_trabajo_entorno_extralaboral_nivel	riesgo_muy_alto
dim_demandas_carga_mental_puntaje	100
dim_demandas_carga_mental_nivel	riesgo_muy_alto
dim_demandas_jornada_trabajo_puntaje	100
dim_demandas_jornada_trabajo_nivel	riesgo_muy_alto
dim_consistencia_rol_puntaje	
dim_consistencia_rol_nivel	
dim_demandas_responsabilidad_puntaje	
dim_demandas_responsabilidad_nivel	
dim_recompensas_pertenencia_puntaje	100
dim_recompensas_pertenencia_nivel	riesgo_muy_alto
dim_reconocimiento_compensacion_puntaje	100
dim_reconocimiento_compensacion_nivel	riesgo_muy_alto
intralaboral_total_puntaje	90.9
intralaboral_total_nivel	riesgo_muy_alto
extralaboral_total_puntaje	100
extralaboral_total_nivel	riesgo_muy_alto
estres_total_puntaje	100
estres_total_nivel	muy_alto
puntaje_total_general	94.5
puntaje_total_general_nivel	riesgo_muy_alto
calculated_at	45981.57764
created_at	45981.57764
updated_at	45981.57764
extralaboral_tiempo_fuera_puntaje	100
extralaboral_tiempo_fuera_nivel	riesgo_muy_alto
extralaboral_relaciones_familiares_puntaje	100
extralaboral_relaciones_familiares_nivel	riesgo_muy_alto
extralaboral_comunicacion_puntaje	100
extralaboral_comunicacion_nivel	riesgo_muy_alto
extralaboral_situacion_economica_puntaje	100
extralaboral_situacion_economica_nivel	riesgo_muy_alto
extralaboral_caracteristicas_vivienda_puntaje	100
extralaboral_caracteristicas_vivienda_nivel	riesgo_muy_alto
extralaboral_influencia_entorno_puntaje	100
extralaboral_influencia_entorno_nivel	riesgo_muy_alto
extralaboral_desplazamiento_puntaje	100
extralaboral_desplazamiento_nivel	riesgo_muy_alto
